"Uganda","Zambia","output_type","file_name","parm","quartile"
"-16 (-66 to 24)","-16 (-67 to 25)","100x DALYs averted, TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-18 (-57 to 0)","-18 (-58 to 0)","100x DALYs averted, TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"32 (26 to 39)","37 (30 to 45)","cost per child, SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"107 (98 to 115)","122 (112 to 132)","cost per child, WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"111 (104 to 119)","128 (120 to 137)","cost per child, TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"88 (76 to 99)","101 (87 to 114)","cost per child, TBS2","tICERtable_baseline_LQ.csv","baseline","LQ"
"74 (63 to 85)","85 (72 to 97)","incremental cost, WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"79 (69 to 88)","91 (80 to 102)","incremental cost, TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"55 (42 to 68)","63 (48 to 78)","incremental cost, TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"4 (-4 to 13)","6 (-3 to 16)","incremental cost, TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-19 (-32 to -7)","-21 (-36 to -7)","incremental cost, TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"-23 (-35 to -14)","-28 (-40 to -16)","incremental cost, TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"16.91","19.3","ICER (no discounting), WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"17.67","20.48","ICER (no discounting), TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"13.77","15.86","ICER (no discounting), TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"83.28","118.1","ICER (no discounting), TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"48.74","54.17","ICER (no discounting), TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"52.72","61.8","ICER (no discounting), TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"41.45","47.2","ICER, WHO v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"43.32","50.1","ICER, TBS1 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"33.77","38.79","ICER, TBS2 v SOC","tICERtable_baseline_LQ.csv","baseline","LQ"
"204.15","288.88","ICER, TBS1 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"119.49","132.5","ICER, TBS2 v WHO","tICERtable_baseline_LQ.csv","baseline","LQ"
"129.23","151.15","ICER, TBS2 v TBS1","tICERtable_baseline_LQ.csv","baseline","LQ"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_baseline_UQ.csv","baseline","UQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_baseline_UQ.csv","baseline","UQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_baseline_UQ.csv","baseline","UQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"-19 (-30 to -8)","-19 (-30 to -8)","100x incremental ATT, TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-27 (-38 to -17)","-27 (-38 to -17)","100x incremental ATT, TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-8 (-14 to -3)","-8 (-14 to -3)","100x incremental ATT, TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"19 (15 to 23)","19 (16 to 23)","100x deaths per child, SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"13 (12 to 15)","13 (12 to 15)","100x deaths per child, TBS2","tICERtable_baseline_UQ.csv","baseline","UQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"-6 (-10 to -3)","-6 (-10 to -3)","100x incremental deaths, TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"0 (-1 to 1)","0 (-1 to 1)","100x incremental deaths, TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"1 (-1 to 2)","1 (-1 to 2)","100x incremental deaths, TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"1 (0 to 2)","1 (0 to 2)","100x incremental deaths, TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"440 (216 to 685)","439 (205 to 688)","100x undiscounted LYS, WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"445 (225 to 698)","444 (210 to 692)","100x undiscounted LYS, TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"400 (183 to 647)","400 (173 to 638)","100x undiscounted LYS, TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"5 (-76 to 93)","5 (-76 to 95)","100x undiscounted LYS, TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-39 (-161 to 58)","-39 (-163 to 62)","100x undiscounted LYS, TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-45 (-139 to 0)","-45 (-142 to 0)","100x undiscounted LYS, TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"179 (88 to 279)","179 (84 to 281)","100x DALYs averted, WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"181 (92 to 285)","182 (86 to 283)","100x DALYs averted, TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"163 (75 to 264)","163 (71 to 261)","100x DALYs averted, TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"2 (-31 to 38)","2 (-31 to 39)","100x DALYs averted, TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-16 (-66 to 24)","-16 (-67 to 25)","100x DALYs averted, TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-18 (-57 to 0)","-18 (-58 to 0)","100x DALYs averted, TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"32 (26 to 39)","37 (30 to 45)","cost per child, SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"107 (98 to 115)","122 (112 to 132)","cost per child, WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"111 (104 to 119)","128 (120 to 137)","cost per child, TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"88 (76 to 99)","101 (87 to 114)","cost per child, TBS2","tICERtable_baseline_UQ.csv","baseline","UQ"
"74 (63 to 85)","85 (72 to 97)","incremental cost, WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"79 (69 to 88)","91 (80 to 102)","incremental cost, TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"55 (42 to 68)","63 (48 to 78)","incremental cost, TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"4 (-4 to 13)","6 (-3 to 16)","incremental cost, TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-19 (-32 to -7)","-21 (-36 to -7)","incremental cost, TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"-23 (-35 to -14)","-28 (-40 to -16)","incremental cost, TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"16.91","19.3","ICER (no discounting), WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"17.67","20.48","ICER (no discounting), TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"13.77","15.86","ICER (no discounting), TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"83.28","118.1","ICER (no discounting), TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"48.74","54.17","ICER (no discounting), TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"52.72","61.8","ICER (no discounting), TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"41.45","47.2","ICER, WHO v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"43.32","50.1","ICER, TBS1 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"33.77","38.79","ICER, TBS2 v SOC","tICERtable_baseline_UQ.csv","baseline","UQ"
"204.15","288.88","ICER, TBS1 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"119.49","132.5","ICER, TBS2 v WHO","tICERtable_baseline_UQ.csv","baseline","UQ"
"129.23","151.15","ICER, TBS2 v TBS1","tICERtable_baseline_UQ.csv","baseline","UQ"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-19 (-30 to -8)","-19 (-30 to -8)","100x incremental ATT, TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-27 (-38 to -17)","-27 (-38 to -17)","100x incremental ATT, TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-8 (-14 to -3)","-8 (-14 to -3)","100x incremental ATT, TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"19 (15 to 23)","19 (16 to 23)","100x deaths per child, SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"13 (12 to 15)","13 (12 to 15)","100x deaths per child, TBS2","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-6 (-10 to -3)","-6 (-10 to -3)","100x incremental deaths, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"0 (-1 to 1)","0 (-1 to 1)","100x incremental deaths, TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"1 (-1 to 2)","1 (-1 to 2)","100x incremental deaths, TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"1 (0 to 2)","1 (0 to 2)","100x incremental deaths, TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"440 (216 to 685)","439 (205 to 688)","100x undiscounted LYS, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"445 (225 to 698)","444 (210 to 692)","100x undiscounted LYS, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"400 (183 to 647)","400 (173 to 638)","100x undiscounted LYS, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"5 (-76 to 93)","5 (-76 to 95)","100x undiscounted LYS, TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-39 (-161 to 58)","-39 (-163 to 62)","100x undiscounted LYS, TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-45 (-139 to 0)","-45 (-142 to 0)","100x undiscounted LYS, TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"179 (88 to 279)","179 (84 to 281)","100x DALYs averted, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"181 (92 to 285)","182 (86 to 283)","100x DALYs averted, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"163 (75 to 264)","163 (71 to 261)","100x DALYs averted, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"2 (-31 to 38)","2 (-31 to 39)","100x DALYs averted, TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-16 (-66 to 24)","-16 (-67 to 25)","100x DALYs averted, TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-18 (-57 to 0)","-18 (-58 to 0)","100x DALYs averted, TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"32 (26 to 39)","37 (30 to 45)","cost per child, SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"107 (98 to 115)","122 (112 to 132)","cost per child, WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"111 (104 to 118)","128 (120 to 137)","cost per child, TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"87 (75 to 98)","101 (87 to 113)","cost per child, TBS2","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"74 (63 to 85)","85 (72 to 97)","incremental cost, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"78 (69 to 88)","91 (79 to 101)","incremental cost, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"55 (42 to 68)","63 (48 to 78)","incremental cost, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"4 (-4 to 13)","6 (-3 to 16)","incremental cost, TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-19 (-32 to -7)","-21 (-36 to -7)","incremental cost, TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"-23 (-34 to -14)","-28 (-40 to -16)","incremental cost, TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"16.87","19.26","ICER (no discounting), WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"17.6","20.41","ICER (no discounting), TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"13.72","15.8","ICER (no discounting), TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"80.2","114.96","ICER (no discounting), TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"48.89","54.33","ICER (no discounting), TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"52.49","61.56","ICER (no discounting), TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"41.36","47.1","ICER, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"43.14","49.91","ICER, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"33.63","38.65","ICER, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"196.6","281.18","ICER, TBS1 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"119.84","132.89","ICER, TBS2 v WHO","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"128.68","150.58","ICER, TBS2 v TBS1","tICERtable_c.s.reassessCXRxgastall_LQ.csv","c.s.reassessCXRxgastall","LQ"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_c.s.reassessCXRxgastall_UQ.csv","c.s.reassessCXRxgastall","UQ"
